 magnetization (x)
 
# of ion     s       p       d       tot
----------------------------------------
  1       -0.000  -0.000  -0.000  -0.000
  2        0.000   0.000   0.000   0.000
  3       -0.000  -0.000   0.000  -0.000
  4       -0.000  -0.000  -0.000  -0.000
  5       -0.000  -0.000   0.000  -0.000
  6        0.000   0.000   0.000   0.000
  7       -0.000  -0.000   0.000  -0.000
  8       -0.000  -0.000  -0.000  -0.000
  9       -0.001  -0.001   0.004   0.003
 10        0.001   0.001  -0.004  -0.003
 11        0.000   0.000  -0.001  -0.001
 12       -0.000  -0.000   0.001   0.001
 13       -0.002  -0.002  -0.370  -0.374
 14        0.002   0.002   0.370   0.375
 15        0.008   0.010   1.525   1.543
 16       -0.008  -0.010  -1.525  -1.543
 17        0.000  -0.011   0.000  -0.011
 18        0.000   0.008   0.000   0.008
 19       -0.000   0.043   0.000   0.043
 20        0.000  -0.011   0.000  -0.011
 21       -0.000  -0.008   0.000  -0.008
 22        0.000  -0.010   0.000  -0.010
 23       -0.000   0.011   0.000   0.011
 24        0.000   0.008   0.000   0.008
 25       -0.000   0.010   0.000   0.010
 26       -0.000   0.011   0.000   0.011
 27       -0.000  -0.008   0.000  -0.008
 28        0.000  -0.043   0.000  -0.043
 29       -0.000   0.040   0.000   0.040
 30       -0.000   0.039   0.000   0.039
 31       -0.000   0.043   0.000   0.043
 32       -0.000   0.040   0.000   0.040
 33        0.000  -0.039   0.000  -0.039
 34        0.000  -0.010   0.000  -0.010
 35        0.000  -0.040   0.000  -0.040
 36       -0.000   0.039   0.000   0.039
 37       -0.000   0.010   0.000   0.010
 38        0.000  -0.040   0.000  -0.040
 39        0.000  -0.039   0.000  -0.039
 40        0.000  -0.043   0.000  -0.043
------------------------------------------------
tot        0.000   0.000   0.000   0.000
 


 magnetization (y)
 
# of ion     s       p       d       tot
----------------------------------------
  1        0.000   0.000  -0.000  -0.000
  2       -0.000  -0.000   0.000  -0.000
  3        0.000   0.000  -0.000   0.000
  4        0.000  -0.000   0.000  -0.000
  5       -0.000  -0.000  -0.000  -0.000
  6       -0.000  -0.000   0.000  -0.000
  7        0.000   0.000  -0.000   0.000
  8       -0.000  -0.000  -0.000  -0.000
  9       -0.000  -0.000   0.001   0.001
 10        0.000   0.000  -0.001  -0.001
 11       -0.001  -0.001   0.004   0.003
 12        0.001   0.001  -0.004  -0.003
 13        0.008   0.010   1.525   1.542
 14       -0.008  -0.010  -1.525  -1.542
 15        0.002   0.002   0.368   0.372
 16       -0.002  -0.002  -0.368  -0.372
 17       -0.000   0.039   0.000   0.039
 18        0.000  -0.040   0.000  -0.040
 19       -0.000   0.010   0.000   0.010
 20       -0.000   0.039   0.000   0.039
 21       -0.000   0.040   0.000   0.040
 22       -0.000   0.043   0.000   0.043
 23        0.000  -0.039   0.000  -0.039
 24        0.000  -0.040   0.000  -0.040
 25        0.000  -0.043   0.000  -0.043
 26        0.000  -0.039   0.000  -0.039
 27       -0.000   0.040   0.000   0.040
 28        0.000  -0.010   0.000  -0.010
 29        0.000   0.008   0.000   0.008
 30       -0.000   0.011   0.000   0.011
 31       -0.000   0.010   0.000   0.010
 32        0.000   0.008   0.000   0.008
 33        0.000  -0.011   0.000  -0.011
 34       -0.000   0.043   0.000   0.043
 35       -0.000  -0.008   0.000  -0.008
 36       -0.000   0.011   0.000   0.011
 37        0.000  -0.043   0.000  -0.043
 38       -0.000  -0.008   0.000  -0.008
 39        0.000  -0.011   0.000  -0.011
 40        0.000  -0.010   0.000  -0.010
------------------------------------------------
tot       -0.000  -0.000  -0.000  -0.000
 


 magnetization (z)
 
# of ion     s       p       d       tot
----------------------------------------
  1       -0.000  -0.000   0.000  -0.000
  2       -0.000   0.000  -0.000  -0.000
  3        0.000  -0.000   0.000   0.000
  4        0.000   0.000   0.000   0.000
  5       -0.000  -0.000   0.000  -0.000
  6        0.000  -0.000   0.000   0.000
  7       -0.000   0.000  -0.000  -0.000
  8        0.000  -0.000   0.000   0.000
  9       -0.000  -0.000  -0.000  -0.000
 10        0.000  -0.000  -0.000  -0.000
 11       -0.000   0.000   0.000   0.000
 12       -0.000   0.000   0.000   0.000
 13       -0.000  -0.000  -0.000  -0.000
 14       -0.000  -0.000  -0.000  -0.000
 15        0.000   0.000   0.000   0.000
 16        0.000   0.000   0.000   0.000
 17       -0.000  -0.000   0.000  -0.000
 18       -0.000  -0.000   0.000  -0.000
 19       -0.000   0.000   0.000   0.000
 20       -0.000  -0.000   0.000  -0.000
 21        0.000   0.000   0.000   0.000
 22        0.000  -0.000   0.000  -0.000
 23        0.000   0.000   0.000   0.000
 24       -0.000  -0.000   0.000  -0.000
 25       -0.000  -0.000   0.000  -0.000
 26       -0.000  -0.000   0.000  -0.000
 27        0.000  -0.000   0.000  -0.000
 28       -0.000   0.000   0.000   0.000
 29       -0.000  -0.000   0.000  -0.000
 30       -0.000  -0.000   0.000  -0.000
 31       -0.000   0.000   0.000   0.000
 32       -0.000   0.000   0.000   0.000
 33       -0.000   0.000   0.000   0.000
 34       -0.000  -0.000   0.000  -0.000
 35       -0.000   0.000   0.000   0.000
 36       -0.000  -0.000   0.000  -0.000
 37        0.000  -0.000   0.000  -0.000
 38        0.000   0.000   0.000   0.000
 39       -0.000   0.000   0.000   0.000
 40       -0.000   0.000   0.000   0.000
------------------------------------------------
tot       -0.000  -0.000   0.000  -0.000
 
 BZINTS: Fermi energy:  5.180000;324.000000 electrons
